job_title,salary,years_of_experience,submission_deadline,job_description,job_requirements,benefits,company_address
Trưởng Nhóm Kinh Doanh Tài Chính Hà Nội,"10,000,000 - 15,000,000",1-3 năm,06/01/2023,"- Lập và triển khai kế hoạch kinh doanh, kế hoạch hoạt động của Phòng giao dịch theo định kỳ - Quản lý, điều hành và tổ chức hoạt động kinh doanh của Phòng giao dịch: Tổ chức thực hiện công tác nghiên cứu thị trường, đề xuất chính sách sản phẩm phù hợp, phát triển khách hàng cấp tín dụng, khách hàng huy động, quản lý rủi ro,...- Quản lý, tổ chức thực hiện công tác chất lượng dịch vụ- Quản lý và phát triển nhân viên trong phòng- Liệt kê và chấm đối soát / báo cáo cuối ngày của phòng giao dịch- Thực hiện các nhiệm vụ khác theo yêu cầu của Ban Giám đốc","- Trình độ học vấn: Tốt nghiệp Cao Đẳng/Đại học- Kinh nghiệm: Có ít nhất 1 năm kinh nghiệm làm quản lý (trưởng nhóm, trưởng bộ phận, quản lý cửa hàng...)- Kiến thức: Ưu tiên có kiến thức, hiểu biết tốt về kinh tế, về quản trị, về hoạt động Ngân hàng thương mại và các ngành kinh tế; có kiến thức xã hội tốt và quan hệ với các - Khách hàng là cá nhân, tổ chức ngân hàng.- Kỹ năng: Kỹ năng tốt về thiết lập quan hệ Khách hàng; Kỹ năng tốt về giao tiếp, thuyết phục, đàm phán và thương lượng, ký kết hợp đồng; Kỹ năng về quản lý và chăm sóc- Khách hàng; Kỹ năng lập kế hoạch và tổ chức; quản lý nhóm, quản lý công việc.- Thành thạo các phần mềm tin học văn phòng.","- Thu nhập hấp dẫn, lương cứng 7,500,000 - 8,500,000 triệu/ tháng + thưởng kinh doanh (Thu nhập từ 10,000,000 - 15,000,000 tùy năng lực)- Lương tháng 13 và các quyền lợi khác theo quy định công ty: sinh nhật, nghỉ mát, nghỉ phép, lễ tết, BHXH, BHYT…- Môi trường làm việc trẻ trung, năng động và nhiều cơ hội phát triển.","Tầng 15, khối B, toà nhà sông Đà, Phạm Hùng, Nam Từ Liêm, Hà Nội."
E-Commerce Executive,"5,000,000 - 10,000,000",1-3 năm,04/01/2023,"Quản lý sản phẩm, giá bán và tồn kho của từng kênh TMĐT/ Super App (Grab, Now, Beamin, Tiki, Lazada, Shopee, Chopp,...)Quản lý theo dõi các chỉ số vận hành của từng kênh để duy trì điểm vận hành của gian hàngLâp kế hoạch và thực hiện các chiến dịch/ chương trình khuyến mãi/ quảng cáo trên các sàn TMĐT/ Super App đê thúc đẩy bán hàng, đảm bảo chỉ tiêu được giaoLàm việc với Marketing về nội dung và kế hoạch truyền thôngTMĐT/ Super AppTheo dõi và cải thiện nội dung sản phẩm, tối ưu từ khóa tìm kiếmNghiên cứu thị trường, sản phẩm và đối thủ để xác định tìm năng thị trường và duy trì lợi thế cạnh tranhBáo cáo và thực hiện nhiệm vụ theo sự phân công của cấp trên","Tối thiểu 1 năm vị trí liên quan Online (Merchandiser, Category, Business) ưu tiên nhóm hàng FMCG/ FRESHHiểu rõ các mô hình vận hành và nắm bắt các công cụ khuyến mãi của các sàn TMĐT/ Super AppChủ động đề xuất sản phẩm/ CTKM để push saleThái độ tích cực, tư duy đơn giảnCó khả năng chịu được áp lực, có tinh thần đồng đội và học hỏi cầu tiến","• Được làm việc trong môi trường chuyên nghiệp, năng động, đồng nghiệp thân thiện và dễ mến• Chế độ thưởng, du lịch hàng năm, BHXH... • Hỗ trợ chi phí gửi xe• Hưởng các chế độ đãi ngộ và phúc lợi khác từ Công ty","127-135 Đường Số 1, Phường Tân Phong, Quận 7"
Trưởng Phòng Kinh Doanh Mảng Quảng Cáo Ngoài Trời (B2B),"20,000,000 - 40,000,000",3-5 năm,04/01/2023,"- Nghiên cứu thị trường, tìm hiểu đối thủ cạnh tranh, định vị khách hàng tiềm năng và tham mưu cho Ban Giám đốc xây dựng chiến lược kinh doanh.- Lập và triển khai kế hoạch kinh doanh của phòng theo chiến lược kinh doanh của Công ty nhằm hoàn thành doanh số của phòng theo tháng/quý/năm- Tham mưu, tư vấn cho Ban Giám đốc xây dựng các gói dịch vụ, chính sách bán hàng, quy trình bán hàng & phát triển dịch vụ khách hàng hiệu quả theo từng thời điểm. Tìm hiểu và đánh giá nhu cầu thị trường để hoàn thiện và phát triển các dịch vụ cung cấp cho khách hàng.- Đảm bảo mục tiêu doanh thu theo chỉ tiêu được giao, giao chỉ tiêu cho nhân viên kinh doanh. Thiết lập kế hoạch thực hiện mục tiêu và triển khai cho nhân viên kinh doanh.- Giám sát và hỗ trợ đội ngũ nhân viên kinh doanh trong các buổi họp với khách hàng để tìm hiểu và nắm được nguyện vọng, mong muốn, yêu cầu và các giới hạn của khách hàng.- Giám sát và phối hợp cùng các phòng chuyên môn trong việc xây dựng, lập kế hoạch chiến lược, đề xuất giải pháp/phương án, chi phí về phát triển thương hiệu/truyền thông/sáng tạo/tổ chức sự kiện và digital marketing…cho khách hàng. Hỗ trợ các nhóm trong việc thuyết trình, tư vấn trực tiếp cho khách hàng.- Giám sát và hỗ trợ đội nhóm trong việc tư vấn trực tiếp cho khách hàng, đàm phán, ký kết hợp đồng, tiến độ thực hiện, tiến độ thanh toán, nghiệm thu và thanh lý hợp đồng.- Giám sát và hỗ trợ việc triển khai dự án của các nhóm khách hàng và hỗ trợ xử lý nhanh chóng các vấn đề phát sinh đảm bảo mọi vấn đề đều được giải quyết thỏa đáng, triệt để và chuyên nghiệp.- Phát triển nguồn khách hàng mới sử dụng các sản phẩm, dịch vụ của công ty.- Quản lý mối quan hệ khách hàng, xây dựng, chăm sóc và phát triển các mối quan hệ với khách hàng. Duy trì mối quan hệ khách hàng thân thiết và phát triển tăng số lượng khách hàng tiềm năng nhằm duy trì và gia tăng nguồn doanh thu cho công ty.- Quản trị, đào tạo, tuyển dụng đội ngũ kinh doanh, đánh giá, đề xuất khen thưởng, kỷ luật.- Báo cáo doanh thu, chi phí của phòng và dự báo thực tế cho ban lãnh đạo.","- Tốt nghiệp Đại học chuyên ngành Quản trị Kinh doanh, Marketing, Quảng cáo, Truyền thông, Kinh tế,… hoặc các chuyên ngành có liên quan- Có niềm đam mê với lĩnh vực truyền thông, quảng cáo, sự kiện, thương hiệu, marketing - Có ít nhất 5 năm kinh nghiệm tại vị trí tương đương. Có kinh nghiệm sale tronglĩnhvực truyền thông, quảngcáo, tổchứcsự kiện là một lợi thế.- Có kinh nghiệm làm việc với các đối tác thuộc lĩnh vực tài chính, ngân hàng, BĐS, Bảo hiểm, Dược… là một lợi thế- Có kinh nghiệm làm việc với Bộ, Ban, Ngành hoặc Truyền thông, Quảng cáo Doanh nghiệp là một lợi thế- Có mối quan hệtốt với các Cơ quan, Bộ ban ngành, địa phương là một lợi thế.- Tốc độ làm việc nhanh và chịu được áp lực tốt, đảm bảo hoàn thành công việc được giao đúng thời gian yêu cầu.- Có kỹ năng quản lý đội ngũ và đào tạo nhân viên- Chính trực, chủ động và có trách nhiệm cao với công việc- Có kỹ năng về việc quản lý thời gian làm việc một cách hiệu quả. - Linh hoạt, sẵn sàng học hỏi và cập nhật các công nghệ mới, xu hướng mới.","- Môi trường làm việc năng động, chuyên nghiệp, phát huy khả năng sáng tạo và lợi thế của bản thân.- Có cơ hội mở rộng mối quan hệ và hoàn thiện mình trong công việc.- Hưởng đầy đủ các quyền lợi dành cho người lao động theo quy định của Nhà nước (Tham gia BHXH, BHYT...); Nghỉ lễ tết theo quy định của Nhà nước- Được tham gia các hoạt động team Building, dã ngoại, các hoạt động mang tính cộng đồng. - Tham gia vào các phong trào văn hóa nội bộ với lối sống ưu tiên phát triển toàn diện hướng tới một cuộc sống cân bằng giữa công việc, sức khỏe, và các mối quan hệ.",Tầng 03 - Tòa nhà Toserco - 273 Kim Mã - Ba Đình - Hà Nội
Nhân Viên Tuyển Dụng,Thỏa thuận,Dưới 1 năm,30/12/2022,"- Tìm kiếm ứng viên và tổ chức xắp xếp phỏng vấn tuyển dụng theo đề xuất tuyển dụng từ các bộ phận/định biên đã được phê duyệt.- Chịu trách nhiệm tuyển dụng các vị trí tuyển theo yêu cầu.- Quản lý hồ sơ, hợp đồng nhân sự- Viết bài trên Fanpage Tuyển dụng của Công ty.- Lên ý tưởng, đề xuất và thực hiện các sáng kiến liên quan đến Tuyển dụng, Đào tạo nhằm hoàn thiện và cải thiện các Quy trình Quy định.- Thực hiện các công việc theo chỉ đạo trực tiếp từ Ban lãnh đạo Công ty.","- Kỹ năng quản lý thời gian, tổ chức sắp xếp công việc, làm việc nhóm.- Chuyên môn & kinh nghiệm: Tối thiểu 6 tháng HR, Hành chính nhân sự, Tuyển Dụng.- Yêu thích làm việc với con người, mong muốn anh em phát triển, giỏi lên từng ngày.- Tốt nghiệp CĐ, ĐH chuyên ngành quản trị nhân lực hoặc liên quan- Tỉ mỉ, cẩn thận, chủ động, quyết liệt, không ngại va chạm.",+ Lương thử việc: 6.000.000 VNĐ nhận 100% lương thử việc (có thể thoả thuận lương khi có kinh nghiệm)Lương cứng chính thức: 6.000.000 - 10.000.000 triệuThưởng theo hiệu quả công việc:. + 1.000.000 VNĐ hoàn thành 76 - 85% KPI. + 2.000.000 VNĐ hoàn thành 86 - 90% KPI. + 3.000.000 VNĐ hoàn thành 91 - 95% KPI. + 4.000.000 VNĐ hoàn thành > 95% KPICác chính sách đầy đủ theo quy định nhà nước,"Số 5 ngõ 59 đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội"
Content Marketing,"5,000,000 - 10,000,000",1-3 năm,04/01/2023,"- Xây dựng, sáng tạo, quản trị nội dung (bao gồm viết nội dung, trình bày nội dung, ý tưởng về hình ảnh) trên Fanpages, Website, và các kênh truyền thông của Công ty.- Chịu trách nhiệm về các hoạt động Marketing/ Content và các hoạt động Branding khác liên quan đến các sản phẩm/nhãn hàng đảm nhiệm. - Xây dựng chiến lược, ý tưởng và nội dung cho các chiến dịch truyền thông tiếp thị cho dự án/sản phẩm của Công ty.- Lên ý tưởng tổ chức các hoạt động tăng tương tác (like, view…) cho Fanpages, Website và các kênh truyền thông như: Minigame, Livestream…; - Làm việc trực tiếp với Designe để đảm bảo chất lượng hình ảnh/ video sản xuất đúng theo ý tưởng và truyền tải đúng thông điệp dự án/sản phẩm - Thực hiện công việc lên kế hoạch seeding facebook, instagram, linkedin và nhiều trang mạng xã hội khác -Sáng tạo và phát triển nội dung dựa trên Brand Guideline- Review, chia sẻ, bình luận nội dung liên quan trên bài đã đăng để quảng cáo, PR cho sản phẩm, dịch vụ, thương hiệu của công ty trên website - Phân tích insight khách hàng; phân tích thông tin khách hàng để biết họ cần gì, quan tâm đến những nội dung gì và điều chỉnh chiến lược content marketing cho phù hợp.-Phối hợp với các cá nhân, bộ phận khác để lên kế hoạch và phát triển các chiến lược content marketing hiệu quả, đảm bảo hoàn thành tốt mục tiêu đã đề ra. -Chuẩn bị kịch bản cho các buổi review, talkshow, quay tiktok; chuẩn bị tài nguyên cho các sự kiện, event của Công ty- Lên kế hoạch, chiến dịch nội dung SEO cho tháng.- Cập nhật những xu hướng mới về marketing.- Thực hiện các công việc khác theo yêu cầu của cấp trên.","- Tốt nghiệp Cao đẳng/Đại học chuyên ngành Quản trị kinh doanh, Marketing, Ngôn ngữ,... và các khối ngành liên quan. - Tối thiểu 1-2 năm kinh nghiệm ở vị trí tương đương, đã từng làm việc trong lĩnh vực thời trang, làm đẹp là một lợi thế. - Tin học văn phòng.- Kỹ năng viết lách, sáng tạo nội dung, kỹ năng quản lý thời gian tốt - Đam mê và mong muốn phát triển lâu dài với nghề Content. - Nắm bắt xu hướng, chuyển động của mạng xã hội. - Biết các thủ thuật tăng like, views...cho các bài viết trên các kênh truyền thông của Công ty - Khả năng làm việc nhóm -Năng động, chủ động và cẩn trọng trong công việc","- Tham gia BHXH, BHYT, BHTN.- Có 11 ngày nghỉ Lễ/Tết hưởng nguyên lương.- Có 12 ngày phép năm nghỉ hưởng nguyên lương.- Đầy đủ các phúc lợi: lương tháng 13, du lịch hàng năm- Lương tăng theo năng lực làm việc- Được làm việc trong môi trường chuyên nghiệp, năng động.- Có cơ hội sáng tạo và phát huy khả năng của bản thân.- Có cơ hội được tham gia đào tạo nâng cao kỹ năng của bản thân và thăng tiến những vị trí cao hơn.","110 Đ. Trần Hưng Đạo, Phường 7, Quận 5, Thành phố Hồ Chí Minh"
Nhân Viên Iso,"10,000,000 - 15,000,000",1-3 năm,05/01/2023,"Xây dựng, triển khai và tuân thủ các yêu cầu ISO 9001, IATF 16949:2016, ISO 14001 & ISO45001Kiểm soát tuân thủ và đánh giá nội bộ đáp ứng các yêu cầu nội bộ ISO/IATFPhụ trách chất lượng outsouscingCác công việc khác theo yêu cầu của cấp trên","Nữ dưới 28 tuổiKinh nghiệm làm hệ thống ISO từ 2 năm trở lên, có chứng chỉ đánh giá nội bộ là 1 lợi thếĐọc, hiểu, gửi email bằng tiếng AnhTốt nghiệp Cao đẳng trở lênCó kinh nghiệm làm việc trong các công ty điện tử","Được đào tạo công việcĐược ký hợp đồng làm việc lâu dàiMức lương sẽ được đánh giá theo năng lực Tham gia các chế độ phúc lợi: BHXH, BHYT, BHTN…Thưởng tháng 13Nghỉ lễ theo quy định, Nghỉ 12 ngày phép nămĐược xe đưa đón từ địa điểm Hà Nội đến công ty hoặc xe đưa đón các tuyến đường Bus Vĩnh Phúc, Tuyên QuangMiễn phí phần ăn trưa, làm thêm giờ","Lô B3, KCN Bá Thiện 2, xã Bá Hiến, huyện Bình Xuyên, tỉnh Vĩnh Phúc"
Nhân Viên Kinh Doanh,"5,000,000 - 10,000,000",Dưới 1 năm,31/12/2022,"- Phát triển khách hàng có nhu cầu làm đại lý, mua sản phẩm cho cửa hàng garage- Quản lý khách hàng trên địa bàn quản lý: doanh thu, chăm sóc khách hàng.- Lập kế hoạch, xây dựng các chương trình truyền thông, chăm sóc khách hàng- Các công việc khác theo yêu cầu- Được sắp sếp địa điểm làm việc gần nhà nhất có thể- Làm việc trong môi trường doanh nghiệp hàng đầu Việt Nam","- Trung thực, nhanh nhẹn và có chí cầu tiến.- Thành thạo tin học văn phòng cơ bản.- Có đam mê kinh doanh.- Chưa có kinh nghiệm sẽ được đào tạo.- Yêu cầu : Nam/nữ dưới 25-55 tuổi sức khỏe tốt- Tốt nghiệp : Cao Đẳng/Đại Học khối kinh tế, Quản Trị Kinh Doanh, Thương Mại, Bưu Chính Viễn Thông....- Khả năng chịu được áp lực công việc, thời gian làm việc kéo dài- Nhanh nhẹn, hoạt bát, chịu đựơc áp lực, hoạt đông độc lập.","- Nhân sự sẽ được đào tạo, làm việc trong một môi trường năng động, chuyên nghiệp.- Các ứng viên quan tâm vui lòng gửi hồ sơ trực tuyến, gửi kèm file hoặc trực tiếp đến tại công ty.- Mức lương cứng : Từ 7.000.000đ + chưa kể % khách hàng mới.Tổng thu nhập trên 100 triệu đồng/năm (bao gồm cả thưởng quý, lễ, tết...)..","Xóm Trung Tâm, Xã Nghi Ân, Thành phố Vinh, Tỉnh Nghệ An, Việt Nam"
Trưởng Ban Quản Lý Dự Án,Thỏa thuận,5-10 năm,05/01/2023,"- Chịu trách nhiệm việc tổ chức, quản lý, điều hành dự án tại công trường về tiến độ, chất lượng, khối lượng, chi phí, an ninh trật tự, an toàn… theo đúng quy định.- Quản lý, kiểm tra, giám sát, đôn đốc các nhà thầu (các nhà thầu thi công, tư vấn giám sát, quản lý dự án…) thực hiện theo kế hoạch và tiến độ thi công và các nội dung khác theo Hợp đồng; đề xuất biện pháp điều chỉnh cần thiết để bảo đảm tiến độ thi công.- Làm việc và phối hợp với chính quyền địa phương để đảm bảo việc mọi việc liên quan đến triển khai thi công dự án được tiến hành thuận lợi, phù hợp yêu cầu của pháp luật, các quy định của địa phương.- Lập báo cáo, kế hoạch công việc định kỳ tuần/tháng/quý/năm hoặc đột xuất theo yêu cầu của Ban Lãnh đạo Công ty,- Tổ chức công tác nghiệm thu và bàn giao công trình, hạng mục công trình, dự án theo quy định.- Quản lý, điều hành các công việc khác thuộc phạm vi của Chủ đầu tư tại Công trường- Quản lý, phân công công việc, kiểm tra, đánh giá nhân sự Ban quản lý dự án thuộc thẩm quyền","1. Yêu cầu chung:- Tốt nghiệp Đại học các trường Đại học Xây dựng / GTVT / Kiến trúc ….- Chứng chỉ Hành nghề Tư vấn Giám sát; Chứng chỉ hành nghề quản lý dự án hạng II trở lên2. Yêu cầu chuyên môn:- Đã đảm nhiệm vị trí Trưởng Ban QLDA của 01 dự án thi công xây dựng hạ tầng kỹ thuật Khu công nghiệp hoặc 02 dự án thi công xây dựng hạ tầng kỹ thuật- Am hiểu pháp luật về xây dựng (Nắm được quy định về quản lý dự án, quản lý chất lượng, quản lý chi phí, quản lý an toàn …)","• Lương thỏa thuận + lương tháng 13 + Thưởng theo đánh giá kết quả công việc• Được đóng BHXH theo luật định; khám sức khỏe định kỳ hàng năm• Môi trường làm việc năng động, thân thiện.• Được tham gia các khóa đào tạo và có cơ hội thăng tiến.• Được tham gia nhiều hoạt động văn hóa, thể thao và giải trí: Teambuilding, CLB bóng đá…","Lô 46 Công viên Phần mềm Quang Trung, Phường Tân Chánh Hiệp, Quận 12, TPHCM"
Kĩ Thuật Viên Spa - Làm Việc Tại Thành Phố Vinh,Thỏa thuận,Dưới 1 năm,04/01/2023,"- Chịu trách nhiệm chăm sóc & điều trị da cho KH theo đúng quy trình quy chuẩn của Công ty- Thực hiện các dịch vụ Spa theo quy trình của Spa, biết sử dụng máy móc thiết bị trong spa: Chăm sóc mặt, Massage body, Tắm trắng, Triệt lông,…- Tư vấn khách hàng về các vấn đề giữ gìn sức khỏe, tư vấn và bán sản phẩm, dịch vụ của Spa, hướng dẫn khách hàng thực hiện đúng liệu trình trị liệu.- Tuân thủ các quy định về vệ sinh và tiệt trùng theo đúng quy trình, quy định của spa Tham gia đào tạo , nâng cao nghiệp vụ chuyên môn và các kỹ năng giao tiếp .- Các công việc khác trao đổi khi phỏng vấn","- Ca sáng: 8h00 - 17h30- Ca chiều: 11h30- 20h30- Là nữ, độ tuổi từ 18 - 32t. Ngoại hình ưa nhìn, da trắng, trung thực, tự tin, nhanh nhẹn, hoà đồng, phát âm rõ ràng, có khả năng giao tiếp tốt.- Không cần kinh nghiệm làm việc- Trung thực, có trách nhiệm trong công việc .- Không bị run tay- Chủ động học hỏi, tiếp thu công nghệ thẩm mỹ mới và cập nhật thông tin về thị trường thẩm mỹ- Chịu được áp lực công việc cao- Yêu thích công việc tư vấn làm đẹp, chăm sóc khách hàng và có định hướng xác định gắn bó lâu dài- Ưu tiên những bạn có kinh nghiệm, có kiến thức spa",️Tổng thu nhập tháng từ bao gồm 8tr -15tr bao gồm:Lương cứng 5tr5 + KPI + hoa hồng doanh thu + thưởng lễ tết + thưởng nóng️1 tháng được nghỉ 02 ngày️ Tăng lương 6 tháng/1 lầnCông ty hỗ trợ nhà ở cho nhân viên ở xaCung cấp đồ ăn bữa phụ hàng ngàyMôi trường làm việc đầy đủ trang thiết bị hiện đại️Nhân viên làm 1 năm được thưởng tháng lương thứ 13Du lịch và hưởng chế độ phúc lợi theo quy định công ty️Được đóng bảo hiểm xã hội theo quy định Công ty,39A Lê Hồng Phong Thành phố Vinh. Tỉnh Nghệ An
Chuyên Viên Ads (Thị Trường Đông Nam Á Thu Nhập 15-20Tr),"5,000,000 - 10,000,000",Dưới 1 năm,29/12/2022,"- Tiến hành nghiên cứu thị trường để tìm ra câu trả lời cho các yêu cầu, thói quen và xu hướng của người tiêu dùng.- Thảo luận, làm việc nhóm để xây dựng ý tưởng cho các chiến dịch marketing hiệu quả.- Thử nghiệm vs nhiều kênh marketing ko phải trả tiền hoạc có trả tiền như tạo nội dung , quản lý nội dung số , truyền thông mạng xã hội , tổ trức sự kiện …- Đo lường và báo cáo các hiệu suất cuả các chiến dịch tiếp thị , so sánh vs mục tiêu, điều chỉnh khi cần- Phân tích thị trường , hành vi người dùng- Liên hệ với nhà cung cấp bên ngoài để triển khai sự kiện, chiến dịch quảng cáo.- Phối hợp với nhân viên marketing cùng các bộ phận khác để gia tăng độ nhận diện thương hiệu và thực hiện các hoạt động marketing được phân công.- Lập kế hoạch, triển khai các sáng kiến để tiếp cận khách hàng mục tiêu thông qua kênh truyền thông thích hợp như mạng xã hội facebook , google , tiktok..",- Có kinh nghiệm chạy ads từ 6 tháng trở lên- Thành thạo các công cụ ads- Có tư duy cập nhật,"- Lương cứng: 6.000.000 + % hoa hồng + thưởng nóng (Trung bình từ 15-20.000.000/tháng)- Môi trường làm việc năng động, trẻ trung, chuyên nghiệp- Có cơ hội thăng tiến, phát triển bản thân.- Nhận thưởng và quà trong các dịp lễ tết, sinh nhật, lương tháng thứ 13. Một năm đi du lịch 1 đến 2 lần- Có cơ hội đi Philipine học hỏi","CT4 Vimeco Nguyễn Chánh, Cầu Giấy, Hà Nội"
